Name,helmet,cape,amulet,weapon,body,sheild,Equip7,legs,Equip9,gloves,boots,Equip12,Loc_x,Loc_y,Anim_id,Overall,Attack,Defence,Strength,Hitpoints,Ranged,Prayer,Magic,Cooking,Woodcutting,Fletching,Fishing,Firemaking,Crafting,Smithing,Mining,Herblore,Agility,Thieving,Slayer,Farming,Runecrafting,Hunter,Construction,Location
payden10,-1,4405,1731,1381,544,-1,-1,542,-1,-1,1061,-1,3160,3490,-1,282,41,1,57,49,43,25,26,9,1,1,8,1,1,1,10,1,1,1,1,1,1,1,1,ge
Ageamen,3486,20214,23354,12389,3481,3488,-1,3483,-1,2922,11019,-1,3154,3482,-1,646,60,60,50,59,56,60,66,7,37,18,16,14,25,22,11,1,16,16,48,1,1,1,1,ge
mikehierro,-1,-1,-1,1349,-1,-1,-1,-1,-1,-1,-1,-1,3170,3469,-1,978,60,55,64,65,62,52,77,28,40,28,1,54,34,26,49,1,63,24,22,13,73,54,33,ge
steve milky,1153,-1,1478,2402,1115,1191,-1,1067,-1,-1,-1,-1,3167,3487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ge
SaintHCIM,20792,-1,552,1203,20794,1171,-1,20796,-1,1059,1061,-1,3164,3468,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ge
kenzo1danilo,1149,-1,12853,11920,21892,6524,-1,4087,-1,-1,11840,-1,3176,3491,-1,786,67,61,92,84,76,50,58,55,41,1,26,29,42,22,17,1,29,10,21,1,1,1,1,ge
bronzeman 8,10828,22114,1710,6739,9674,12954,-1,9676,-1,7460,3105,-1,3165,3473,-1,1960,98,86,99,99,99,77,99,99,81,80,83,84,85,73,68,90,77,88,79,99,66,68,83,ge
LordShimster,1949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3489,-1,181,11,2,10,13,1,12,1,32,2,1,44,2,35,1,6,1,1,1,1,1,1,1,1,ge
E T  Hugeman,-1,2414,11976,4170,544,8850,-1,542,-1,7456,11840,-1,3168,3488,-1,996,66,70,73,75,70,52,74,1,1,29,55,35,43,37,55,4,34,29,55,9,44,11,1,ge
Goyn Jo,2657,1007,1731,23334,2653,2659,-1,2655,-1,2912,1061,-1,3163,3487,-1,357,41,44,50,43,4,10,10,4,18,1,12,1,40,29,42,1,1,1,1,1,1,1,1,ge
sumchick,12013,6570,19553,11920,12014,3842,-1,12015,-1,-1,12016,-1,3167,3488,-1,1945,99,99,99,99,99,81,99,81,81,78,80,76,80,75,76,79,77,75,97,88,72,71,84,ge
0djinnvoid42,4905,10498,19547,12926,4941,-1,-1,4947,-1,10368,19936,-1,3165,3474,-1,1102,75,70,70,75,76,59,64,51,56,21,50,54,60,51,50,35,41,38,37,19,11,12,27,ge
Ashbaern,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3167,3488,-1,1913,80,80,91,91,92,74,86,92,76,82,80,85,80,83,80,80,82,80,84,90,74,97,74,ge
Leet Armand,2619,-1,1478,1333,2615,2621,-1,2617,-1,-1,9005,-1,3171,3475,-1,622,49,49,49,52,26,21,56,59,69,1,51,30,12,38,36,1,1,1,1,1,17,1,1,ge
Yorgaz,1057,-1,3859,2417,10400,3844,-1,10402,-1,6629,1837,-1,3159,3490,-1,1129,66,60,65,65,61,45,60,77,60,68,70,55,40,41,50,41,59,28,27,18,12,40,21,ge
hadiali,2657,-1,1009,1333,6654,2659,-1,2655,-1,-1,-1,-1,3163,3482,-1,252,42,40,45,42,1,16,1,12,4,32,1,5,1,1,1,1,1,1,1,1,1,1,1,ge
waycob97,-1,-1,1478,845,12287,-1,-1,12289,-1,2922,9005,-1,3166,3482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ge
64ghostly45,1163,4397,10364,841,-1,-1,-1,2655,-1,2912,-1,-1,3164,3487,-1,603,55,55,55,56,40,42,46,43,50,1,43,52,7,10,40,1,1,1,1,1,1,1,1,ge
DARKxNASTY,579,4365,1727,1387,577,-1,-1,1011,-1,-1,7596,-1,3165,3487,-1,646,55,51,60,57,40,44,53,40,42,1,41,40,8,37,50,1,1,1,1,1,20,1,1,ge
Moon_40oz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3169,3470,-1,1812,99,99,99,99,99,90,99,88,70,99,66,79,75,70,68,78,61,60,89,53,47,60,65,ge
BorderMP,1053,13679,-1,11709,426,13660,-1,428,-1,-1,-1,-1,3167,3488,-1,103,1,1,1,10,1,1,1,4,10,1,1,11,43,1,8,1,1,1,1,1,1,1,1,ge
TTV NUMBER_9,12013,9793,11111,1275,12014,-1,-1,12015,-1,21392,12016,-1,3163,3475,-1,1243,91,73,99,92,41,43,66,60,57,50,62,50,61,65,99,36,57,31,9,9,50,16,26,ge
J1G5AW13,1057,4413,21314,1331,2599,1199,-1,2601,-1,2912,9005,-1,3166,3487,-1,290,31,30,30,31,12,1,5,41,21,1,50,23,1,2,3,1,1,1,1,1,1,1,1,ge
Mr Musk,1153,-1,-1,1387,1115,1191,-1,1067,-1,1065,23288,-1,3166,3484,-1,0,1,1,1,1,40,1,76,56,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
Phrz,11865,22109,6585,22323,11828,12831,-1,11834,-1,7462,21733,-1,3167,3486,-1,1836,91,95,99,99,99,80,99,70,85,84,70,70,75,70,68,75,70,60,97,70,55,70,85,ge
Dr4g0n5lash,2613,-1,1731,1331,2607,2611,-1,2609,-1,2922,23294,-1,3170,3485,-1,369,36,35,35,37,20,24,37,18,7,1,13,18,14,29,34,1,1,1,1,1,4,1,1,ge
gabrielkyle,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3167,3488,-1,1687,80,78,82,86,87,70,80,72,70,69,65,68,70,73,72,70,70,68,79,70,67,70,71,ge
2Dkat,12013,12514,-1,11920,-1,13118,-1,5036,-1,776,1061,-1,3156,3473,-1,1389,81,81,83,83,77,48,73,70,64,52,62,66,70,50,65,45,70,53,61,42,14,9,70,ge
Tematists,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3489,-1,1253,70,70,72,78,83,59,55,70,57,44,53,65,60,58,54,34,56,27,61,33,11,48,35,ge
Ladwood,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3165,3476,-1,330,1,1,1,10,1,1,1,99,1,60,16,90,1,29,10,1,1,1,1,1,1,1,1,ge
SitDownSon,1153,13679,-1,1387,1115,-1,-1,1067,-1,-1,-1,-1,3151,3476,713,93,1,1,1,10,1,1,59,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
Rang4rs_pk07,7394,23297,10366,1387,7390,-1,-1,7386,-1,2922,1061,-1,3166,3487,-1,305,43,1,61,55,43,9,67,5,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,ge
jollygoodfew,579,1021,1725,1387,577,-1,-1,1011,-1,2932,1061,-1,3162,3488,-1,0,45,45,1,1,1,1,1,1,1,1,1,40,1,32,37,1,1,1,1,1,1,1,1,ge
goblindog,1037,-1,-1,1295,-1,-1,-1,-1,-1,-1,-1,-1,3167,3475,-1,1449,76,75,73,78,78,70,70,70,61,61,53,60,61,50,61,55,70,53,71,60,40,47,56,ge
stefanie2014,5533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3163,3471,-1,306,52,28,43,45,1,27,1,1,2,1,1,1,1,1,50,1,1,1,1,1,44,1,1,ge
z3r0chance,1153,-1,1731,837,1101,1191,-1,1067,-1,-1,1061,-1,3166,3487,-1,323,40,1,70,68,74,1,26,15,2,1,12,2,1,1,1,1,1,1,1,1,1,1,1,ge
071420247,1139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3163,3487,-1,497,51,53,66,61,56,45,22,4,12,1,1,1,68,29,19,1,1,1,1,1,1,1,1,ge
rdodrill1,1169,1021,1731,853,1129,-1,-1,7380,-1,1065,1061,-1,3163,3487,-1,0,1,1,1,1,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
EPIC SAXGUY,12931,22109,19553,22978,11832,10878,-1,21024,-1,22981,13239,-1,3154,3473,-1,1717,85,85,86,95,98,77,90,77,62,70,65,75,70,70,68,56,68,70,74,72,56,65,83,ge
Xnillsds,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3166,3472,-1,463,24,40,31,41,30,10,50,60,41,1,52,41,12,9,13,1,1,1,1,1,1,1,1,ge
marcanoec,-1,-1,-1,1353,-1,-1,-1,-1,-1,-1,-1,-1,3152,3472,-1,175,34,8,8,25,1,12,1,11,52,1,8,3,1,1,1,1,1,1,1,1,1,1,1,ge
DON377,6182,1027,-1,12727,6180,-1,-1,6181,-1,-1,-1,-1,3158,3490,-1,319,48,44,50,46,2,21,30,7,10,1,7,10,4,1,2,1,1,1,29,1,1,1,1,ge
killing1238,2627,4387,10364,1333,1113,2629,-1,2625,-1,1063,1061,-1,3163,3487,-1,251,49,40,50,47,1,14,31,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
francisconi6,1163,-1,-1,851,-1,-1,-1,1099,-1,1065,-1,-1,3169,3486,-1,639,51,49,49,55,56,44,39,53,46,1,33,49,3,45,58,1,1,1,1,1,1,1,1,ge
CasanovaG13,1159,1019,1731,1331,1121,1197,-1,1071,-1,2912,9006,-1,3165,3466,-1,344,35,20,41,35,11,20,26,20,21,1,20,17,1,35,33,1,1,1,1,1,1,1,1,ge
Rexx087,579,1019,1731,1381,1035,-1,-1,1033,-1,1063,1061,-1,3168,3488,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,30,40,1,1,1,1,1,1,1,1,ge
LanaCeleste,24387,23351,23354,22550,24389,-1,-1,24391,-1,2491,24393,-1,3177,3471,-1,685,54,60,55,64,70,57,10,45,50,9,45,51,28,21,33,1,1,6,21,1,1,1,1,ge
wendy848,1017,1019,1731,1387,577,-1,-1,1011,-1,2912,23294,-1,3163,3487,-1,412,30,30,34,37,1,18,47,-1,40,1,34,36,3,30,25,1,1,1,1,1,1,1,1,ge
Newfam,1050,6568,9470,1333,10420,2667,-1,3479,-1,11974,1837,-1,3165,3492,-1,0,47,40,1,1,1,35,47,1,1,1,1,1,1,1,1,10,1,1,1,1,1,9,1,ge
Misterpink93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3159,3491,-1,1733,80,80,87,86,85,99,83,70,92,52,61,68,87,72,70,78,71,61,80,67,54,70,80,ge
Fahmeme,1163,-1,-1,1333,1127,1201,-1,1079,-1,-1,-1,-1,3162,3488,-1,759,72,72,72,71,37,60,58,13,67,50,1,15,50,29,18,50,9,10,1,1,1,1,1,ge
Tacosrock2,6188,-1,1731,1331,1101,1191,-1,1067,-1,-1,-1,-1,3162,3479,-1,257,35,1,44,36,1,17,2,37,27,1,5,31,8,1,3,1,1,1,1,1,1,1,1,ge
Makeup Megan,-1,9748,-1,1275,-1,1540,-1,-1,-1,-1,-1,-1,3152,3483,-1,1011,99,76,99,95,26,43,30,30,56,27,47,2,49,14,85,36,68,31,9,9,38,16,26,ge
Luxord,13139,13221,13135,13110,13106,13119,-1,13114,-1,22981,13237,-1,3173,3490,-1,1855,97,92,99,99,99,80,95,74,72,80,68,71,80,73,76,81,72,70,96,78,63,70,70,ge
kool man778,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,9005,-1,3167,3488,-1,1084,40,48,47,51,57,66,43,59,71,37,71,99,39,37,30,33,50,43,30,50,20,20,43,ge
Rish wtf 21,1149,6568,1704,1381,3140,6524,-1,4087,-1,11118,11840,-1,3165,3473,-1,980,73,70,73,73,64,52,54,34,42,25,32,56,34,42,36,17,45,18,50,14,1,74,1,ge
ST3AML0RD,1147,-1,-1,1333,1127,1201,-1,1079,-1,2922,9005,-1,3170,3485,-1,1006,62,61,68,64,50,44,64,59,77,90,59,35,50,29,51,10,45,11,54,20,1,1,1,ge
volcome911,11850,11852,-1,1393,11854,-1,-1,-1,-1,-1,88,-1,3162,3487,-1,926,70,60,78,72,53,51,63,39,36,15,36,33,32,72,75,1,52,18,58,1,1,9,1,ge
ArGilit,6182,4411,10366,1387,1035,-1,-1,1033,-1,2912,-1,-1,3165,3487,713,923,58,46,56,58,41,55,99,81,64,33,46,64,50,71,56,1,1,1,9,1,1,30,1,ge
SunamiSensei,6109,2414,1731,1387,1129,-1,-1,1099,-1,1065,2904,-1,3162,3487,-1,763,50,1,34,57,73,45,83,48,22,28,58,50,8,21,31,20,31,53,20,6,14,9,1,ge
Coolmarim307,-1,1019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3166,3487,-1,459,36,36,40,40,14,27,38,16,39,1,4,41,44,33,42,1,1,1,1,1,1,1,1,ge
physio27NL,1163,1007,1725,1387,1113,1201,-1,1093,-1,2912,1061,-1,3166,3492,-1,614,54,49,55,54,1,33,59,68,73,1,48,39,3,35,34,1,1,1,1,1,1,1,1,ge
o sanji o,-1,-1,-1,1359,-1,-1,-1,-1,-1,-1,-1,-1,3172,3489,-1,1613,85,82,88,87,80,70,83,84,82,93,55,58,73,95,59,77,62,53,76,32,38,44,57,ge
MassiveNine9,1165,1019,-1,1361,1125,1195,-1,1077,-1,1059,1061,-1,3176,3489,-1,164,16,10,10,16,1,7,1,2,17,1,1,10,1,27,36,1,1,1,1,1,1,1,1,ge
Make Me Meme,6182,-1,11976,9084,-1,-1,-1,-1,-1,-1,9005,-1,3162,3488,-1,1541,75,75,78,78,77,70,74,79,62,89,70,75,72,50,60,45,70,50,66,38,57,74,57,ge
mArIo_KicK,1169,1027,1731,853,1133,-1,-1,1099,-1,1065,1061,-1,3164,3481,-1,402,30,35,30,46,55,34,35,31,21,1,1,24,32,2,17,1,1,1,1,1,1,1,1,ge
Voyavolver,1053,-1,1731,1381,7370,-1,-1,7378,-1,1065,-1,-1,3162,3491,-1,1578,78,78,79,84,87,70,95,74,67,51,73,78,70,68,74,52,71,53,63,54,55,54,50,ge
Rolely,1044,1027,1718,-1,1135,13660,-1,7378,-1,1065,23288,-1,3163,3470,-1,748,52,50,60,57,51,38,60,60,38,1,59,39,57,32,43,1,1,1,1,1,44,1,1,ge
Ger1976,2613,1021,1654,1331,2607,2611,-1,2609,-1,-1,-1,-1,3162,3488,-1,332,31,30,34,33,7,23,10,24,21,1,3,8,50,19,30,1,1,1,1,1,1,1,1,ge
chunguslifts,1163,-1,1731,1387,1113,1201,-1,1079,-1,-1,-1,-1,3162,3488,-1,553,40,45,53,48,30,34,28,46,37,1,33,47,44,44,15,1,1,1,1,1,1,1,1,ge
apaninihead,1149,-1,-1,4151,3140,6524,-1,4087,-1,-1,11840,-1,3166,3479,-1,1178,70,64,64,67,50,44,70,82,71,45,82,72,50,50,49,45,43,38,43,23,9,31,16,ge
TOMMY baily,1057,-1,-1,1387,-1,-1,-1,-1,-1,-1,1061,-1,3166,3487,-1,962,61,63,61,66,67,41,72,43,45,53,40,33,44,47,51,35,32,28,53,9,16,1,1,ge
carapacho20,10306,1019,-1,1313,1125,-1,-1,1077,-1,-1,1061,-1,3163,3471,-1,156,24,15,12,20,1,1,1,4,3,1,2,3,5,34,22,1,1,1,1,1,1,1,1,ge
Mr Squirbs,21214,1027,-1,24537,22351,-1,-1,22353,-1,1059,9005,-1,3155,3478,-1,869,65,65,65,63,40,43,51,40,72,58,63,40,40,35,30,10,40,22,1,1,23,1,1,ge
TsLorenzo,2619,-1,1725,23332,2615,2621,-1,2617,-1,2922,9005,-1,3162,3469,-1,523,55,50,56,53,19,21,8,43,34,1,44,33,5,40,53,1,1,1,1,1,1,1,1,ge
Wobsy3,1057,-1,1478,1329,1125,7344,-1,1077,-1,-1,9005,-1,3163,3479,-1,223,21,12,14,20,8,14,8,13,28,1,10,31,8,5,22,1,1,1,1,1,1,1,1,ge
ric0 sauve,1050,-1,-1,-1,1115,-1,-1,1067,-1,-1,11019,-1,3160,3474,-1,200,40,1,45,39,1,1,1,55,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,ge
hi me49,2657,4405,1731,23334,2653,2659,-1,2655,-1,2912,9006,-1,3162,3487,-1,0,1,41,1,1,1,1,1,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
D R Trip,12397,13679,21314,21354,12393,13660,-1,12395,-1,-1,626,-1,3163,3482,-1,563,50,1,70,60,70,31,66,1,36,21,5,1,41,24,1,1,35,25,20,1,1,1,1,ge
W 385 Leader,-1,-1,-1,1351,-1,-1,-1,-1,-1,-1,-1,-1,3165,3485,-1,1060,98,98,98,99,91,44,98,70,75,1,70,70,60,40,40,1,1,1,1,1,1,1,1,ge
Bum-Wee,-1,9777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3166,3487,-1,1285,60,60,66,67,67,47,77,68,65,65,45,50,50,71,61,63,59,99,24,32,38,18,33,ge
iTi Gunnar,1042,23300,1727,1331,10408,-1,-1,-1,-1,-1,9006,-1,3170,3490,-1,209,33,30,30,31,1,33,31,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,ge
lag ge woo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3167,3487,-1,428,41,1,99,91,90,2,1,1,36,1,1,1,32,1,1,1,22,1,1,1,1,1,1,ge
lifted yukon,-1,-1,-1,1381,-1,-1,-1,-1,-1,-1,-1,-1,3162,3473,-1,803,54,45,60,76,89,52,82,41,40,27,24,27,53,20,1,3,36,39,22,9,1,1,1,ge
F A 1 12 Y,1044,-1,-1,4587,-1,-1,-1,-1,-1,-1,-1,-1,3162,3490,-1,751,60,1,83,73,43,1,94,43,1,26,1,50,33,1,1,17,32,53,10,9,1,1,1,ge
DeeDaGee,1161,1019,-1,1333,1123,1199,-1,1073,-1,1063,1061,-1,3164,3487,-1,422,61,50,78,69,1,33,1,18,40,1,14,1,28,1,18,1,1,1,1,1,1,1,1,ge
slimy goblin,1153,4387,1725,1327,1115,1191,-1,1099,-1,1065,1061,-1,3166,3487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ge
Will11515,10828,6568,6585,20372,11832,-1,-1,21304,-1,21736,22234,-1,3167,3481,-1,1007,78,76,83,81,75,47,62,44,56,27,43,26,46,38,45,20,40,33,35,1,16,9,26,ge
Doxitrixline,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3487,-1,2134,99,99,99,99,99,99,99,99,85,99,83,90,99,84,83,99,80,82,99,99,91,83,86,ge
Typhuslamort,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3166,3487,-1,1064,80,75,80,81,77,50,60,62,56,11,63,42,55,38,51,10,49,32,75,6,1,9,1,ge
Unsavoury,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3488,-1,1668,95,81,97,99,99,70,97,70,60,60,60,60,75,60,60,76,60,60,78,70,56,60,65,ge
papgayo11,579,1019,1731,1381,577,-1,-1,-1,-1,-1,-1,-1,3162,3491,-1,283,49,40,50,47,1,11,1,30,7,1,34,1,1,1,1,1,1,1,1,1,1,1,1,ge
TheGothGF,1163,-1,1731,1333,1127,1201,-1,1093,-1,1065,1061,-1,3162,3487,-1,680,48,46,54,52,48,40,43,64,48,1,66,45,56,29,32,1,1,1,1,1,1,1,1,ge
wantmydlong,10828,6570,12018,22978,11832,12954,-1,11834,-1,22981,13239,-1,3164,3487,-1,1769,99,99,98,99,99,74,97,70,61,62,62,60,70,70,68,74,76,80,69,84,48,67,83,ge
ShankSadeliC,1161,1019,1725,1333,1123,1199,-1,1073,-1,11079,1061,-1,3163,3487,-1,293,40,30,40,38,1,21,1,49,4,1,51,6,1,1,1,1,1,1,1,1,1,1,1,ge
A S S X IN,-1,-1,1708,-1,-1,-1,-1,-1,-1,-1,-1,-1,3164,3463,-1,182,2,1,10,24,19,1,35,1,25,1,1,1,1,1,12,1,1,1,1,1,1,1,40,ge
Elven Elf7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3491,-1,1287,72,66,73,74,73,54,68,70,52,59,64,50,52,67,73,47,53,54,68,25,15,57,1,ge
ArtosBr,-1,-1,-1,1387,-1,-1,-1,-1,-1,-1,-1,-1,3164,3482,-1,1737,75,76,83,82,81,70,93,73,75,74,70,75,72,72,78,72,73,75,69,81,87,74,57,ge
shroomy 93,12845,20050,11964,11920,12014,-1,-1,-1,-1,-1,11836,-1,3163,3487,-1,935,75,70,75,73,66,70,55,47,54,16,49,21,44,50,64,1,41,16,13,1,7,1,26,ge
Gin Gimlet,12321,-1,9470,12379,23975,10882,-1,23979,-1,24006,24003,-1,3161,3488,-1,1812,90,90,91,92,90,90,99,75,70,70,75,66,70,80,80,78,73,72,87,72,62,70,70,ge
Christ1243,11850,6570,12018,12006,11854,3842,-1,11856,-1,11858,11860,-1,3165,3482,-1,1705,83,75,96,92,90,70,81,71,80,76,79,66,75,70,71,57,71,72,84,65,52,76,53,ge
SK1D M4RK,1145,1029,1731,837,1111,1540,-1,1099,-1,1063,1061,-1,3163,3486,-1,198,21,30,2,39,49,33,1,4,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,ge
Population,-1,9787,-1,-1,-1,-1,-1,-1,-1,-1,2904,-1,3166,3467,-1,1888,75,99,73,99,99,99,99,77,75,94,70,70,99,75,73,70,71,75,99,88,67,70,72,ge
mcginnis,1040,21853,10364,9084,-1,-1,-1,-1,-1,-1,-1,-1,3166,3472,-1,1511,65,70,75,74,71,52,69,70,71,73,80,99,61,64,72,58,60,54,61,56,52,52,52,ge
billecooo,1048,4385,1731,1329,1125,1193,-1,1077,-1,1063,-1,-1,3177,3482,-1,356,28,37,38,44,49,10,1,41,69,1,1,26,1,1,1,1,1,1,1,1,1,1,1,ge
lspy,24527,21791,19547,13652,13107,-1,-1,-1,-1,-1,6666,-1,3177,3482,-1,2022,96,93,98,99,99,77,97,89,85,81,87,85,80,84,73,90,83,79,95,90,80,99,83,ge
Massive Arse,-1,-1,-1,1387,-1,-1,-1,-1,-1,-1,-1,-1,3162,3488,-1,1794,96,90,99,99,99,75,94,70,76,72,76,65,75,70,68,78,71,63,88,73,77,54,66,ge
8BUN,1046,23410,23354,21209,10416,13660,-1,10418,-1,12958,12959,-1,3171,3470,-1,169,2,1,1,12,2,21,1,31,14,1,1,22,19,30,1,1,1,2,1,1,2,1,1,ge
Scuba1699,9803,9801,11966,10129,20208,-1,-1,2918,-1,2922,2914,-1,3166,3487,-1,1459,87,70,71,79,62,60,69,99,70,94,80,72,55,53,81,49,54,71,60,32,35,55,1,ge
DarthVampus5,1017,1019,1727,1381,546,-1,-1,548,-1,-1,-1,-1,3162,3488,-1,0,1,1,1,1,1,1,1,1,1,1,58,1,1,1,41,1,1,1,1,1,31,1,1,ge
StarStone,-1,10499,-1,-1,1757,-1,-1,-1,-1,-1,1061,-1,3163,3487,-1,1534,86,83,87,91,92,70,84,68,56,36,62,60,70,60,67,66,72,75,79,36,37,60,37,ge
SULFURIC SL,-1,-1,-1,1387,1035,-1,-1,1033,-1,-1,-1,-1,3167,3485,713,782,50,1,62,63,73,1,68,50,44,78,10,50,50,32,20,27,37,53,6,4,1,1,1,ge
5 Crown 1395,1151,1019,1478,9703,1125,9704,-1,1077,-1,2912,1061,-1,3167,3482,-1,483,45,46,46,46,23,40,9,33,35,1,32,37,40,1,41,1,1,1,1,1,1,1,1,ge
D4r3ll,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3166,3466,-1,656,55,68,53,78,88,54,50,4,36,9,18,1,40,1,7,3,32,14,41,1,1,1,1,ge
ZanbonSenGet,1949,1007,1478,-1,-1,-1,-1,-1,-1,-1,-1,-1,3164,3487,-1,390,26,20,20,27,1,28,37,32,30,1,31,34,16,33,30,1,1,1,1,1,17,1,1,ge
Fried Feces,-1,-1,-1,837,-1,21695,-1,-1,-1,-1,7596,-1,3164,3487,-1,196,1,1,1,10,1,1,1,51,1,1,49,1,1,35,33,1,1,1,1,1,1,1,1,ge
Tink 2 Tonk,12211,4347,-1,23332,12205,12213,-1,12209,-1,2922,-1,-1,3167,3488,-1,653,50,2,50,67,1,43,85,95,72,16,1,48,1,41,11,1,32,14,11,1,1,9,1,ge
Klyst,-1,-1,-1,1387,-1,-1,-1,-1,-1,-1,-1,-1,3163,3487,-1,1044,61,56,53,56,40,44,81,78,61,31,63,40,55,54,61,28,58,35,9,25,27,27,1,ge
Myphestos,1949,-1,-1,-1,1005,-1,-1,1013,-1,-1,-1,-1,3161,3489,897,460,40,40,50,45,1,10,43,33,30,1,7,23,8,39,56,1,1,1,1,1,27,1,1,ge
Agnetta,19699,13679,1731,853,546,-1,-1,1097,-1,-1,1061,-1,3157,3489,-1,225,30,1,32,38,32,16,46,10,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,ge
Arien,11850,11852,-1,1275,11854,-1,-1,11856,-1,11858,11860,-1,3166,3487,-1,2159,91,91,93,99,99,83,94,99,99,99,99,99,96,84,90,91,86,99,91,99,96,99,83,ge
Calabela20,-1,-1,-1,1357,-1,-1,-1,-1,-1,-1,-1,-1,3166,3468,-1,672,43,56,44,59,64,44,60,25,40,30,31,37,30,10,26,1,36,8,24,1,1,1,1,ge
PAPICHULO132,1169,1021,1731,853,1135,-1,-1,1099,-1,1065,1061,-1,3166,3468,-1,823,70,70,70,74,78,47,61,23,56,9,22,10,46,29,61,1,37,14,41,1,1,1,1,ge
Genbaku,6188,13679,23309,23330,23404,21695,-1,7378,-1,7595,23288,-1,3171,3486,-1,577,50,50,51,51,42,43,40,58,29,1,48,33,9,31,28,1,1,1,1,1,6,1,1,ge
Rolego,-1,-1,-1,1331,1123,1193,-1,-1,-1,-1,-1,-1,3162,3489,-1,384,43,31,33,22,1,28,45,4,26,1,24,30,4,2,22,1,33,13,9,1,1,9,1,ge
RaukFaik,1141,1019,-1,1329,-1,1191,-1,-1,-1,-1,3061,-1,3168,3488,-1,578,45,47,68,60,43,47,51,37,22,1,14,25,9,45,56,1,1,1,1,1,1,1,1,ge
joke_is_life,-1,19697,552,1387,6654,10881,-1,24018,-1,-1,1061,-1,3162,3492,-1,608,50,47,46,48,44,62,55,11,45,16,20,46,20,1,20,1,16,19,9,13,9,9,1,ge
Chaosfate504,12476,4361,1729,1387,12470,-1,-1,12472,-1,2902,3061,-1,3164,3487,713,1070,57,64,57,59,24,39,77,80,65,68,70,48,75,70,96,1,13,36,1,36,32,1,1,ge
87 Henge 39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3170,3490,-1,227,45,40,43,44,27,2,1,1,4,1,3,3,3,1,1,1,1,1,1,1,1,1,1,ge
SoulLegendxt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3160,3487,-1,691,70,66,70,69,58,52,55,70,20,1,71,21,4,41,15,1,1,1,1,1,1,1,1,ge
SenseiFergie,-1,1019,1727,1349,577,-1,-1,-1,-1,-1,-1,-1,3166,3472,-1,287,27,21,15,25,15,16,20,41,23,1,20,22,9,6,18,1,1,1,1,1,1,1,1,ge
Justlyfly18,-1,-1,1725,1381,-1,-1,-1,-1,-1,-1,-1,-1,3174,3489,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,ge
Apple Sauce,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3166,3485,-1,1875,99,92,99,99,96,77,91,80,70,72,66,75,78,70,71,79,72,71,96,99,62,77,84,ge
